family,design,grid_index,temperature,memory_angle,false_positive,false_negative,equal_grid_prior_weight,uniform_volume_prior_weight,temperature_variance_per_readout,temperature_sd_at_8e6,oracle_temperature_variance_per_readout,relative_c_efficiency,oracle_sd_inflation
internal_basis,bayes_equal_grid,27,0.9,0.2,0.005,0.01,0.012345679012345678,0.00199232585596222,407340.8622728928,0.22564930264485994,407334.0553485708,0.9999832893653634,1.0000083554220367
internal_basis,bayes_equal_grid,28,0.9,0.2,0.005,0.04,0.012345679012345678,0.007305194805194805,451864.93475685705,0.23766176984236892,451837.8485636945,0.9999400568818708,1.0000299729065734
internal_basis,bayes_equal_grid,29,0.9,0.2,0.005,0.12,0.012345679012345678,0.005312868949232586,598967.7454507371,0.2736255985490797,598883.9055662894,0.999860026044667,1.0000699943257891
internal_basis,bayes_equal_grid,30,0.9,0.2,0.02,0.01,0.012345679012345678,0.007305194805194805,488613.51334974397,0.24713698462334202,487546.7986318469,0.9978168538348764,1.0010933636380874
internal_basis,bayes_equal_grid,31,0.9,0.2,0.02,0.04,0.012345679012345678,0.026785714285714284,544737.0530534979,0.2609446907520581,543781.1771583187,0.9982452526593866,1.000878530038211
internal_basis,bayes_equal_grid,32,0.9,0.2,0.02,0.12,0.012345679012345678,0.01948051948051948,733755.1256207376,0.30285209377283856,732917.1020184418,0.9988578974469352,1.0005715408918876
internal_basis,bayes_equal_grid,33,0.9,0.2,0.06,0.01,0.012345679012345678,0.005312868949232586,763308.9920961534,0.30889095812603384,745565.8238386471,0.9767549335312019,1.0118291647166164
internal_basis,bayes_equal_grid,34,0.9,0.2,0.06,0.04,0.012345679012345678,0.01948051948051948,860073.82990976,0.3278859996076685,841891.8968217253,0.9788600321789324,1.0107405787372918
internal_basis,bayes_equal_grid,35,0.9,0.2,0.06,0.12,0.012345679012345678,0.014167650531286893,1197916.0835403348,0.3869618979208959,1177678.0533832766,0.9831056361667283,1.0085557437287354
internal_basis,bayes_equal_grid,36,0.9,0.5,0.005,0.01,0.012345679012345678,0.0046487603305785125,11144.322046064388,0.03732345449925621,10067.274970470578,0.903354634661319,1.0521335307426927
internal_basis,bayes_equal_grid,37,0.9,0.5,0.005,0.04,0.012345679012345678,0.017045454545454544,12245.789395805825,0.03912446388739056,10705.85246744914,0.8742476390387611,1.0695048686519912
internal_basis,bayes_equal_grid,38,0.9,0.5,0.005,0.12,0.012345679012345678,0.012396694214876032,15803.837935809988,0.044446369277773956,12542.412609517474,0.7936308041414145,1.1225113523454546
internal_basis,bayes_equal_grid,39,0.9,0.5,0.02,0.01,0.012345679012345678,0.017045454545454544,14311.489434439107,0.04229581751550487,13307.49279401824,0.9298468097943144,1.0370371089619344
internal_basis,bayes_equal_grid,40,0.9,0.5,0.02,0.04,0.012345679012345678,0.062499999999999986,15870.286919265218,0.04453971110041187,14577.183434324974,0.9185204721553885,1.0434114058224846
internal_basis,bayes_equal_grid,41,0.9,0.5,0.02,0.12,0.012345679012345678,0.04545454545454544,21064.719025803905,0.05131364222334532,18214.60109000392,0.8646970827235511,1.0753949757314172
internal_basis,bayes_equal_grid,42,0.9,0.5,0.06,0.01,0.012345679012345678,0.012396694214876032,24378.24334947041,0.055202177662514375,22863.35904648872,0.9378591688800006,1.0325977768703405
internal_basis,bayes_equal_grid,43,0.9,0.5,0.06,0.04,0.012345679012345678,0.04545454545454544,27452.49384193946,0.05857953337337566,25705.94139860729,0.9363790971636995,1.0334135337136627
internal_basis,bayes_equal_grid,44,0.9,0.5,0.06,0.12,0.012345679012345678,0.033057851239669415,38175.44940411189,0.06907916600187054,35469.471740308596,0.9291173331017334,1.037444132889525
internal_basis,bayes_equal_grid,45,0.9,0.9,0.005,0.01,0.012345679012345678,0.0026564344746162934,840.1557158470621,0.010247900491363232,346.8745643188996,0.4128693738269383,1.5563012479397158
internal_basis,bayes_equal_grid,46,0.9,0.9,0.005,0.04,0.012345679012345678,0.009740259740259742,904.5408009398961,0.010633324979397884,372.0843931897836,0.41135169668759636,1.55916958207605
internal_basis,bayes_equal_grid,47,0.9,0.9,0.005,0.12,0.012345679012345678,0.0070838252656434475,1113.6056024476618,0.01179833464120923,453.88155439041304,0.40757836831352057,1.5663702890598112
internal_basis,bayes_equal_grid,48,0.9,0.9,0.02,0.01,0.012345679012345678,0.009740259740259742,1523.7375908156082,0.013800985430466588,640.2883299825673,0.42020905295106714,1.5426496242206156
internal_basis,bayes_equal_grid,49,0.9,0.9,0.02,0.04,0.012345679012345678,0.03571428571428571,1668.4003046628836,0.01444126165135375,697.5557207717258,0.41809853356066945,1.5465382931508547
