schedule,x_shots,pure_effective_information_per_block,optimal_schedule_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
XZXXXXXX,7,1.7447017303176549e-06,0.1,0.0005304296936756714,0.0004353531534581164
XXZZZZZZ,2,6.318991199683044e-05,0.025,0.0005173063643091336,0.0004236415393279822
XXZZZZZX,3,4.8974508854743304e-05,0.02,0.000518535145524579,0.0004244240468280966
XXZZZZXZ,3,4.671315816642818e-05,0.02,0.0005176705950838967,0.0004238181911771048
XXZZZZXX,4,3.441453886243728e-05,0.015,0.000519155265964022,0.000425064305967603
XXZZZXZZ,3,3.9027839848770896e-05,0.02,0.000517677846938347,0.0004238186412817372
XXZZZXZX,4,0.00018322980152016277,0.015,0.0005200164588032297,0.0004259059315528998
XXZZZXXZ,4,2.471762043038117e-05,0.015,0.0005185086164929409,0.00042460699698851183
XXZZZXXX,5,0.00017606139910901486,0.015,0.0005209663139641996,0.00042626349355573065
XXZZXZZZ,3,3.948068453490938e-05,0.02,0.0005176999699545992,0.00042383778229753213
XXZZXZZX,4,2.645083866234521e-05,0.015,0.0005185321935486376,0.0004246279406707864
XXZZXZXZ,4,0.0001498482136974011,0.015,0.0005193846713714145,0.0004254662533824654
XXZZXZXX,5,0.00014798521320034952,0.015,0.0005203451297858264,0.00042583530626826883
XXZZXXZZ,4,1.6327281756794987e-05,0.015,0.0005185293705762817,0.0004246207152209507
XXZZXXZX,5,0.0001479673675827825,0.015,0.000520343438986326,0.00042582933717218857
XXZZXXXZ,5,0.00014734586300599317,0.015,0.0005203341595296229,0.00042582052742669817
XXZZXXXX,6,0.00022272857887783992,0.015,0.0005223890348076687,0.0004272787071101323
XXZXZZZZ,3,0.0002183512607948357,0.025,0.0005199332942014134,0.0004253400296645275
XXZXZZZX,4,0.00019573692982996493,0.02,0.0005202446516943127,0.0004255984079488285
XXZXZZXZ,4,0.0001571518817290174,0.015,0.0005195383565145817,0.00042560103092617943
XXZXZZXX,5,0.00015688653779244444,0.015,0.0005205165332226591,0.0004259849346951398
XXZXZXZZ,4,0.00022910624999430973,0.02,0.000521347147011908,0.0004266876445488208
XXZXZXZX,5,3.669636931290243e-05,0.02,0.0005230575562733542,0.00042795543641665525
XXZXZXXZ,5,2.061955315625641e-05,0.015,0.0005213405398191706,0.00042679832592065585
XXZXZXXX,6,2.135482089654639e-05,0.015,0.0005234036017669474,0.00042826547828185395
XXZXXZZZ,4,0.00019225796224453529,0.02,0.0005202328741120144,0.0004255825970649312
XXZXXZZX,5,0.00015750146457009506,0.015,0.000520527624701006,0.00042599027462636094
XXZXXZXZ,5,2.0505005494858564e-05,0.015,0.0005213486228966557,0.0004268054691852121
XXZXXZXX,6,4.08075509412964e-06,0.015,0.0005219356669911024,0.00042699886748503134
XXZXXXZZ,5,0.00022955141502312149,0.015,0.0005219967838758777,0.00042725257772744177
XXZXXXZX,6,3.659854332094259e-06,0.015,0.0005234135777213988,0.0004282698883545811
XXZXXXXZ,6,2.64626870238871e-06,0.015,0.0005233887564004003,0.0004282479558819982
XXZXXXXX,7,1.3402855873687058e-06,0.02,0.0005254368925797781,0.0004295789260755606
XXXZZZZZ,3,0.00026491525934463356,0.03,0.0005218551010719441,0.0004265214641636719
XXXZZZZX,4,0.0002447151661863489,0.02,0.0005217517328782728,0.0004267661641575021
XXXZZZXZ,4,0.00022405738860631352,0.02,0.0005209052807230163,0.0004261788179137707
XXXZZZXX,5,0.00022058790479911883,0.015,0.0005216629575693355,0.00042687474515420987
XXXZZXZZ,4,0.00022207330335283215,0.02,0.000520891758697517,0.0004261619558333287
XXXZZXZX,5,0.00024192519557733605,0.02,0.0005225960296787457,0.0004274209149908448
XXXZZXXZ,5,0.00017831753707019116,0.015,0.0005210151851941514,0.0004264186553160267
XXXZZXXX,6,0.00024229324536685637,0.015,0.0005230706893257775,0.0004278770365979522
XXXZXZZZ,4,0.00032665923957905796,0.025,0.0005230310724199105,0.00042772836868270117
XXXZXZZX,5,0.0002429227392541644,0.02,0.0005226448926167193,0.00042746354415234764
XXXZXZXZ,5,3.524817070271746e-05,0.02,0.0005237645539380442,0.00042857671608533335
XXXZXZXX,6,2.021539112972981e-05,0.02,0.0005240636595453818,0.00042859070388526037
XXXZXXZZ,5,0.00024352537540053842,0.02,0.0005226440752663652,0.000427456734475239
XXXZXXZX,6,3.026271499798061e-06,0.02,0.0005240429721147799,0.0004285673453898117
XXXZXXXZ,6,1.54890279764619e-06,0.02,0.0005240516210628376,0.0004285735396198243
