schedule,x_readouts,pure_effective_information_per_block,optimal_complementary_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
XZZXXZ,3,0.0001472426846256536,0.0199,0.0006483247170634143,0.0006117502135761094
XZZXXX,4,0.0001640364499250202,0.0173,0.000650961508449982,0.000613879619009175
XZXZZZ,2,0.00033206330737015066,0.031849999999999996,0.0006498293049664872,0.0006132401696928094
XZXZZX,3,0.0002083491046496605,0.02105,0.0006495377203394881,0.0006127481070313107
XZXZXZ,3,0.00019542881517088662,0.0217,0.0006502270295554169,0.0006134614226528702
XZXZXX,4,0.0001681185082090253,0.017750000000000002,0.0006515181959152461,0.0006144124818295189
XZXXZZ,3,0.00017733043772437396,0.021500000000000002,0.0006499168302982472,0.0006132354801766035
XZXXZX,4,0.0001178679627506507,0.0169,0.0006507301976809154,0.0006137686470302287
XZXXXZ,4,0.00012892442182170505,0.018,0.0006517469804527554,0.000614738223550116
XZXXXX,5,6.23084879370836e-05,0.01625,0.0006534936316855422,0.0006161037744350541
XXZZZZ,2,0.00035576789031341316,0.031299999999999994,0.00064919436328012,0.0006124989759243721
XXZZZX,3,0.00023970947372475848,0.0212,0.000649468459776148,0.0006125754540700842
XXZZXZ,3,0.0001554163579812473,0.019799999999999998,0.0006482377756672486,0.0006116138452563723
XXZZXX,4,0.0001360443536546213,0.0166,0.0006501730293483055,0.0006131617003896153
XXZXZZ,3,0.00018271431256906834,0.0211,0.0006495673503232047,0.0006128429183648691
XXZXZX,4,0.0001283973517036685,0.01695,0.0006507158219780096,0.0006136906085326341
XXZXXZ,4,7.437718662484105e-05,0.0165,0.0006502303258097697,0.0006133495927033127
XXZXXX,5,3.9786726582190235e-05,0.015099999999999999,0.0006523550042528137,0.0006150635566316044
XXXZZZ,3,0.0002638568016909426,0.024550000000000002,0.0006520360116436807,0.0006149844397948384
XXXZZX,4,0.00013178729970822478,0.0179,0.0006515434870310033,0.0006144079869788745
XXXZXZ,4,0.00011720778358305373,0.01805,0.0006517755302800077,0.0006146934730774448
XXXZXX,5,2.1565024755705597e-05,0.0156,0.000652844868809066,0.0006154951133693319
XXXXZZ,4,0.0001023230888800436,0.02005,0.000653336703005547,0.0006161053286644659
XXXXZX,5,2.2243042292056925e-05,0.016399999999999998,0.0006536254084391346,0.0006162125320246133
XXXXXZ,5,8.241104588364856e-06,0.01725,0.0006543247100740668,0.0006168954120069105
XXXXXX,6,1.0180664015176571e-05,0.0163,0.0006558088229831616,0.0006180488673332672
