true_temperature,memory_angle,fitted_markov_temperature,bias,relative_bias,minimum_kl
1.65,0.65,1.2666666666666666,-0.3833333333333333,-0.23232323232323232,0.0035454299759463126
1.65,0.78,1.1333333333333333,-0.5166666666666666,-0.3131313131313131,0.007034835481652735
1.65,0.91,1.0,-0.6499999999999999,-0.3939393939393939,0.012880381632601967
1.65,1.04,0.8666666666666667,-0.7833333333333332,-0.4747474747474747,0.02277840363851613
1.65,1.17,0.75,-0.8999999999999999,-0.5454545454545454,0.03963472319510908
1.65,1.3,0.65,-0.9999999999999999,-0.6060606060606061,0.06645681622712107
1.9,0.0,1.9,0.0,0.0,0.0
1.9,0.13,1.8833333333333333,-0.016666666666666607,-0.008771929824561374,8.273447540840806e-06
1.9,0.26,1.8166666666666667,-0.08333333333333326,-0.04385964912280698,0.00011970891367285574
1.9,0.39,1.7,-0.19999999999999996,-0.10526315789473682,0.0005718090084663174
1.9,0.52,1.5666666666666667,-0.33333333333333326,-0.17543859649122803,0.001700150056145766
1.9,0.65,1.4,-0.5,-0.2631578947368421,0.003908661640640965
1.9,0.78,1.2333333333333332,-0.6666666666666667,-0.3508771929824562,0.007727166674166952
1.9,0.91,1.0666666666666667,-0.8333333333333333,-0.43859649122807015,0.014075464240826285
1.9,1.04,0.9166666666666667,-0.9833333333333332,-0.5175438596491228,0.024755233337654392
1.9,1.17,0.7833333333333334,-1.1166666666666665,-0.587719298245614,0.04287320371514203
1.9,1.3,0.6833333333333333,-1.2166666666666666,-0.6403508771929824,0.07163496064425057
2.15,0.0,2.15,0.0,0.0,1.7763568394002505e-15
2.15,0.13,2.1166666666666667,-0.033333333333333215,-0.015503875968992194,8.413259607209511e-06
2.15,0.26,2.033333333333333,-0.1166666666666667,-0.05426356589147288,0.00012857822828227228
2.15,0.39,1.9,-0.25,-0.11627906976744186,0.0006177848022805854
2.15,0.52,1.7166666666666666,-0.43333333333333335,-0.20155038759689925,0.001835032385168578
2.15,0.65,1.5333333333333332,-0.6166666666666667,-0.2868217054263566,0.004206260199163037
2.15,0.78,1.3333333333333333,-0.8166666666666667,-0.3798449612403101,0.008294207675622722
2.15,0.91,1.1333333333333333,-1.0166666666666666,-0.4728682170542636,0.015051834384929741
2.15,1.04,0.9666666666666666,-1.1833333333333333,-0.5503875968992248,0.026372752499046026
2.15,1.17,0.8166666666666667,-1.3333333333333333,-0.6201550387596899,0.0455014498215478
2.15,1.3,0.7,-1.45,-0.6744186046511628,0.0758815137936395
2.4,0.0,2.4000000000000004,4.440892098500626e-16,1.8503717077085943e-16,8.881784197001252e-16
2.4,0.13,2.3666666666666667,-0.033333333333333215,-0.01388888888888884,8.987251778780347e-06
2.4,0.26,2.25,-0.1499999999999999,-0.062499999999999965,0.00013669853729592063
2.4,0.39,2.0833333333333335,-0.31666666666666643,-0.13194444444444436,0.000655999991189038
2.4,0.52,1.8666666666666667,-0.5333333333333332,-0.22222222222222218,0.0019465397599898182
2.4,0.65,1.65,-0.75,-0.3125,0.004456269651480493
2.4,0.78,1.4166666666666665,-0.9833333333333334,-0.40972222222222227,0.008766858820865142
2.4,0.91,1.2,-1.2,-0.5,0.015868308699344524
2.4,1.04,1.0,-1.4,-0.5833333333333334,0.02770474609291851
2.4,1.17,0.8500000000000001,-1.5499999999999998,-0.6458333333333333,0.04768782120571635
2.4,1.3,0.7333333333333334,-1.6666666666666665,-0.6944444444444444,0.07935663250014446
