point,protocol,prior,temperature,memory_angle,false_positive,false_negative,posterior_mean_T,posterior_sd_T,posterior_ci_low_T,posterior_ci_high_T,true_T_covered,mean_shift_in_baseline_sd,sd_ratio_to_baseline,importance_ess,importance_ess_fraction,maximum_normalized_weight
cold_clean_high_memory,external_references,log_temperature,0.6,0.9,0.005,0.01,0.5994205873201965,0.0018345380345668307,0.5956863939132888,0.6029609700125117,True,-0.0030610556087105984,1.0001753661488106,15999.850077535408,0.999990629845963,6.325103874267309e-05
cold_clean_high_memory,external_references,low_error_beta_1_10,0.6,0.9,0.005,0.01,0.5994262789220421,0.001834144423565999,0.5956921487349742,0.6029623922399133,True,4.19598930877072e-05,0.9999607726002118,15999.912129063447,0.9999945080664654,6.311268651400297e-05
cold_clean_high_memory,external_references,jeffreys_assignment,0.6,0.9,0.005,0.01,0.5994283493927461,0.0018336886300838425,0.5957033822273492,0.6029636346733346,True,0.001170763851060163,0.9997122776634406,15997.079963969085,0.9998174977480678,6.621482967622331e-05
cold_clean_high_memory,external_references,restricted_support,0.6,0.9,0.005,0.01,0.5994262019585191,0.0018342163751050432,0.5956916618138687,0.6029623023429317,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
hot_noisy_low_memory,internal_basis,uniform_wide,1.3,0.2,0.06,0.12,1.2335498106932603,0.4010447378489777,0.5227527005501719,1.94546404754351,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
hot_noisy_low_memory,internal_basis,log_temperature,1.3,0.2,0.06,0.12,1.0846004485834875,0.40193350813347867,0.41397224382786196,1.903238732104506,True,-0.3714033574126162,1.002216137504429,13696.916062311875,0.8560572538944922,0.00021767060898540287
hot_noisy_low_memory,internal_basis,low_error_beta_1_10,1.3,0.2,0.06,0.12,1.3538429255112399,0.3809216285886886,0.6294338645340012,1.9628850417673909,True,0.29994936590660015,0.9498232806438994,14670.735290806431,0.916920955675402,9.568473391524662e-05
hot_noisy_low_memory,internal_basis,jeffreys_assignment,1.3,0.2,0.06,0.12,1.299708467502607,0.3961794757960608,0.5563383006879319,1.9561333936862897,True,0.16496577704570242,0.9878685303813933,15575.328604161405,0.9734580377600878,8.180472660489949e-05
hot_noisy_low_memory,internal_basis,restricted_support,1.3,0.2,0.06,0.12,1.0852160276523617,0.25648483028386315,0.6391921429502806,1.5217093865876004,True,-0.36986841876169185,0.6395416921801084,11022.000000000002,0.6888750000000001,9.072763563781528e-05
hot_noisy_low_memory,external_references,uniform_wide,1.3,0.2,0.06,0.12,1.2821801584065975,0.010677982083595475,1.261930826366117,1.3038858856924105,True,0.0,1.0,15999.999999999996,0.9999999999999998,6.25e-05
hot_noisy_low_memory,external_references,log_temperature,1.3,0.2,0.06,0.12,1.2820912513099878,0.010676469956764648,1.2618062961161864,1.3037921885069192,True,-0.008326207696703213,0.999858388334145,15998.890713198794,0.9999306695749246,6.434656678302496e-05
hot_noisy_low_memory,external_references,low_error_beta_1_10,1.3,0.2,0.06,0.12,1.2821710041592838,0.010679973531360387,1.2619303289858732,1.3038858856924105,True,-0.0008573012430691267,1.0001865003845596,15998.812306101261,0.9999257691313288,6.459697788073959e-05
hot_noisy_low_memory,external_references,jeffreys_assignment,1.3,0.2,0.06,0.12,1.2821822519443282,0.010678844793040125,1.261930826366117,1.3038858856924105,True,0.00019606117657248299,1.0000807933032567,15999.815716593037,0.9999884822870648,6.334366238687044e-05
