grid_index,protocol,total_binary_readouts,independent_units,temperature,memory_angle,false_positive,false_negative,fisher_rank,fisher_condition_number,linear_replicates,linear_physical_fraction,linear_negative_assignment_fraction,exact_mle_replicates,mle_converged_fraction,mle_mean_iterations,fisher_sd_T,linear_coverage_T,linear_bias_T,linear_empirical_sd_T,mle_coverage_T,mle_coverage_wilson_low_T,mle_coverage_wilson_high_T,mle_bias_T,mle_empirical_sd_T,mle_rmse_T,mle_mean_reported_se_T,mle_boundary_fraction_T,fisher_sd_mu,linear_coverage_mu,linear_bias_mu,linear_empirical_sd_mu,mle_coverage_mu,mle_coverage_wilson_low_mu,mle_coverage_wilson_high_mu,mle_bias_mu,mle_empirical_sd_mu,mle_rmse_mu,mle_mean_reported_se_mu,mle_boundary_fraction_mu,fisher_sd_alpha,linear_coverage_alpha,linear_bias_alpha,linear_empirical_sd_alpha,mle_coverage_alpha,mle_coverage_wilson_low_alpha,mle_coverage_wilson_high_alpha,mle_bias_alpha,mle_empirical_sd_alpha,mle_rmse_alpha,mle_mean_reported_se_alpha,mle_boundary_fraction_alpha,fisher_sd_beta,linear_coverage_beta,linear_bias_beta,linear_empirical_sd_beta,mle_coverage_beta,mle_coverage_wilson_low_beta,mle_coverage_wilson_high_beta,mle_bias_beta,mle_empirical_sd_beta,mle_rmse_beta,mle_mean_reported_se_beta,mle_boundary_fraction_beta
5,external_references,8000000,2435000,0.6,0.2,0.02,0.12,4,353761.7520189917,2000,1.0,0.0,24,1.0,2.7916666666666665,0.0025044347315033516,0.9635,-1.8587489473328446e-05,0.0024771870389004476,0.9166666666666666,0.741511978067893,0.9768411847029567,0.00018900507112357598,0.0030577805323027136,0.002999360008343641,0.002510376379162886,0.0,0.04372113117077767,0.955,-0.0005858363475907163,0.0429366916013288,0.9166666666666666,0.741511978067893,0.9768411847029567,0.004432487308540191,0.05459878034510647,0.05363267948071715,0.04653077673180978,0.0,0.0001150785010244323,0.9515,1.6562588572561348e-06,0.00011620001330888957,0.9583333333333334,0.7975819352134406,0.9926065438344942,1.742075736125088e-05,9.559206014281688e-05,9.518708596385154e-05,0.00011512674815589606,0.0,0.000812403840463596,0.946,6.081249969096196e-06,0.0008180901190994296,0.9583333333333334,0.7975819352134406,0.9926065438344942,4.062499936710942e-05,0.0009762707710269503,0.0009565784424203807,0.0008125142836708544,0.0
5,internal_basis,8000000,1000000,0.6,0.2,0.02,0.12,4,5292815.729602163,2000,0.748,0.1555,24,0.7083333333333334,4.25,0.22123481219152466,0.9565,-0.011098909530980531,0.21625961168015972,1.0,0.8620237953250198,1.0,-0.030512274674301315,0.18680952125792552,0.18540421045306124,0.36212589506153287,0.125,0.08284708455095197,0.9575,0.001699976476141813,0.08099251249534986,1.0,0.8620237953250198,1.0,0.032663767116526375,0.08904133906731058,0.09308562407368971,0.19630208427524062,0.0,0.021190983641378003,0.956,0.0010521393316577795,0.020712868461884637,1.0,0.8620237953250198,1.0,0.004924389823280686,0.018029873291751403,0.01832433079069234,0.03017839514374869,0.16666666666666666,0.021200524388708557,0.9555,0.0010314415034927116,0.020721730557281066,1.0,0.8620237953250198,1.0,0.0038589687610999634,0.019544357870469254,0.019518136461875956,0.030187260914638334,0.0
6,external_references,8000000,2435000,0.6,0.2,0.06,0.01,4,303257.386514105,2000,0.999,0.0,24,1.0,2.6666666666666665,0.0033752922330110707,0.951,3.526851421766713e-05,0.003377563013219071,1.0,0.8620237953250198,1.0,-6.525064263045166e-05,0.0027500437888673046,0.002692932283841539,0.0033804975589946727,0.0,0.05749069925418279,0.9505,0.0007527821793689992,0.057049781533447155,1.0,0.8620237953250198,1.0,0.006829398735249972,0.04385591331163474,0.04347231999367822,0.060414312625912625,0.0,0.0001952110528214126,0.9595,-1.0921761316197778e-06,0.00018931374496200548,0.8333333333333334,0.6414692935030095,0.9332132367136705,1.1091364953392269e-05,0.000245453172603185,0.0002405410065247876,0.00019522661081487923,0.0,0.000248746859276655,0.952,1.3390625001445872e-05,0.0002498560736319313,0.9166666666666666,0.741511978067893,0.9768411847029567,5.390624987169037e-05,0.0002680495959367164,0.00026788560104142,0.0002493880381133264,0.0
6,internal_basis,8000000,1000000,0.6,0.2,0.06,0.01,4,4089880.657734351,2000,0.497,0.361,24,0.20833333333333334,2.375,0.25384189308035515,0.9505,-0.0028662298461902954,0.2572182435390933,1.0,0.8620237953250198,1.0,0.0891754518888735,0.34073042190647695,0.34527104924724517,1.652907297398632,0.25,0.0785651111075209,0.947,0.00032127131332926264,0.07968685444114085,1.0,0.8620237953250198,1.0,-0.012338628047202259,0.07648248237179074,0.07588201212363958,0.41265493662429725,0.0,0.02620811877805723,0.9505,0.0002977173380844532,0.026564717035226722,1.0,0.8620237953250198,1.0,-0.0029946402867806698,0.030728505673880913,0.030230209292318313,0.07649767474214679,0.041666666666666664,0.026216198650807127,0.95,0.0002918471769239133,0.02657199689690875,1.0,0.8620237953250198,1.0,0.0059257570691311915,0.022347021513517078,0.022664864370416756,0.07650293074920896,0.5416666666666666
7,external_references,8000000,2435000,0.6,0.2,0.06,0.04,4,330763.233643761,2000,0.9985,0.0,24,0.9583333333333334,2.9166666666666665,0.003503209474545643,0.947,-7.323066160946607e-05,0.0035490968638345363,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.0005242981679790907,0.003384729309726042,0.0033546879708193163,0.0035038028624866705,0.0,0.059808823337427666,0.9485,-0.0003668299323166452,0.05975238897196679,1.0,0.8620237953250198,1.0,-0.006427444825281351,0.06030533286227756,0.05938446488598015,0.08636817491721598,0.041666666666666664,0.00019521108651358713,0.9465,7.83260195768256e-06,0.00019778723699551945,0.9583333333333334,0.7975819352134406,0.9926065438344942,6.105641239479483e-05,0.00020427114949371267,0.00020908365647557005,0.0001953030680902653,0.0,0.0004898979485566356,0.9595,-1.075000008642489e-06,0.0004732726177122865,1.0,0.8620237953250198,1.0,0.00014869791600493972,0.00044191091341674605,0.0004574488386470127,0.000490761928679499,0.0
7,internal_basis,8000000,1000000,0.6,0.2,0.06,0.04,4,4653237.0799387405,2000,0.7955,0.0745,24,0.7916666666666666,6.791666666666667,0.2694088590488557,0.953,0.015282923781075286,0.267145093139169,1.0,0.8620237953250198,1.0,0.06433708316444747,0.2224331136524013,0.227055565667302,0.833739410060339,0.125,0.08359897181757922,0.952,-0.0026512026586126467,0.08322900052275066,1.0,0.8620237953250198,1.0,0.0063048751291739785,0.09410504717109104,0.09233916480836483,0.24210669165023765,0.0,0.026920544211144575,0.9525,-0.0015228173465756637,0.026691887222965168,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.0008794398227261841,0.027581813600472915,0.027015396921587043,0.06700244039445956,0.0,0.026928383674372988,0.951,-0.0015162282766831088,0.026715357673888596,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.000832882911728339,0.027512428648006605,0.026946029737885034,0.06700932251640825,0.0
8,external_references,8000000,2435000,0.6,0.2,0.06,0.12,4,422164.88643145293,2000,0.998,0.0,24,1.0,2.9166666666666665,0.0038886285256025015,0.9565,-5.047054929319761e-05,0.0038125980902190934,0.875,0.6899611872949993,0.9565566591987655,0.0010783776205774837,0.004187541339186704,0.004238838853249598,0.003895345757448262,0.0,0.0668330936945069,0.955,-0.0014217869831929528,0.06579809952403343,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.005319614410842708,0.06721258050517487,0.06601211114803959,0.09234272833916825,0.0,0.0001952111892338438,0.9505,-9.078638551906353e-08,0.0001932277510657655,0.9166666666666666,0.741511978067893,0.9768411847029567,-3.064389669501863e-05,0.00023351902522924576,0.0002306470310185487,0.00019516325069873018,0.0,0.000812403840463596,0.949,2.186875000900996e-05,0.0008084246941723882,0.9166666666666666,0.741511978067893,0.9768411847029567,0.00010234375007765056,0.0008356420261393667,0.0008244247120688664,0.0008126968499230339,0.0
8,internal_basis,8000000,1000000,0.6,0.2,0.06,0.12,4,6668053.773585904,2000,0.778,0.021,24,0.8333333333333334,5.0,0.3180891287910326,0.9415,0.0006903265648825089,0.3270101548973673,1.0,0.8620237953250198,1.0,-0.009152794109900143,0.19111974722428982,0.1873194682308804,0.4467344437349972,0.125,0.09886773351800617,0.949,7.605728626170738e-05,0.10058342029144693,1.0,0.8620237953250198,1.0,0.035877850962447604,0.06289945924979164,0.07126510072506242,0.33061440103759815,0.0,0.02896478847295523,0.9415,-6.676640748742091e-05,0.029777434061950013,1.0,0.8620237953250198,1.0,0.0038366939721469332,0.020247801252442462,0.020189389512300402,0.0364844477531399,0.0,0.02897195839828103,0.94,-4.99992000312974e-05,0.029804576416626028,1.0,0.8620237953250198,1.0,0.003721068177245327,0.02012407911843876,0.020048710733187012,0.036492133073533696,0.0
9,external_references,8000000,2435000,0.6,0.5,0.005,0.01,4,61189.170080109616,2000,1.0,0.0,24,1.0,1.875,0.0017843855327766946,0.9525,-2.3985720366753616e-05,0.0017456044300441043,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.0006680730094233145,0.0018219952743453592,0.0019046440288151072,0.001780884178875655,0.0,0.011752216516519417,0.9505,-0.00018863660934184115,0.011764460092609692,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.00319746348073219,0.012434626034267844,0.01258575386950939,0.011867265063567424,0.0,5.7966480044561096e-05,0.951,-1.7143160913473363e-06,5.765521189640387e-05,1.0,0.8620237953250198,1.0,7.068374052384601e-06,4.793417737200983e-05,4.745429782498019e-05,5.800689240812018e-05,0.0,0.000248746859276655,0.9585,-4.390624999330409e-06,0.00024100987818438075,0.9583333333333334,0.7975819352134406,0.9926065438344942,-2.864583481667343e-06,0.00021011270246449354,0.00020570872794581181,0.0002486982198072526,0.0
9,internal_basis,8000000,1000000,0.6,0.5,0.005,0.01,4,128169.6007863572,2000,0.936,0.0335,24,0.8333333333333334,2.625,0.022891334075521942,0.9425,-0.0012483051444432403,0.023452017640556683,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.004436767247050069,0.029000721272681267,0.028734705987294433,0.023406899556562694,0.0,0.024598438322089213,0.942,0.001212985401547672,0.025413458953332614,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.0012202831912398414,0.031011063823925576,0.03038264170947383,0.02457774573372813,0.0,0.0025966079074407023,0.9415,0.0001407472094908142,0.0026603041239937745,0.9583333333333334,0.7975819352134406,0.9926065438344942,-0.0002493921147887944,0.00298874093128027,0.002936422698874596,0.0026329877094447627,0.20833333333333334,0.002672182462641553,0.9455,0.0001527178171933099,0.002714597171856301,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.0006313734702645097,0.0031989542996408438,0.0031946131551949886,0.002708131618435264,0.0
